index,x_mm,y_mm,z_mm,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg
15,154.973846,-425.238861,-116.807686,-2.725657,0.343214,-1.323792,-156.16864250028942,19.66471366980304,-75.84769455318228
16,396.515991,-255.435318,-64.820946,2.566351,0.180018,-0.555518,147.04108104917833,10.314271636386055,-31.828836843548462
17,427.532532,-140.627579,-116.730171,2.930811,0.326744,-0.237463,167.9231008505163,18.721052181222568,-13.605627690515067
18,432.06012,0.621308,-112.04113,-2.520068,0.334872,0.169406,-144.38926048597435,19.186752277104905,9.706248824193224
19,442.956024,-4.668452,-62.055645,-2.684676,0.207937,0.149173,-153.8206041600638,11.9139125046118,8.54698331730503
20,277.476196,157.011414,234.608566,2.923851,-0.612611,0.764128,167.52432222510527,-35.10002478328887,43.78130940777257
21,296.165466,48.605751,287.297668,2.786592,-0.803747,0.406652,159.6599608249191,-46.05131089630138,23.299443330553952
22,252.506073,-82.919426,336.993042,2.92595,-1.021733,-0.145417,167.64458606630322,-58.540988689240145,-8.331780369453892
23,102.649788,-210.637848,357.05072,-2.617811,-1.127647,-1.295476,-149.98952186292155,-64.60941388058875,-74.22530726048984
24,-42.643501,-257.723175,320.874603,-2.329159,-0.931914,-2.040376,-133.45098051491132,-53.3947390691546,-116.90493341978487
25,-149.80484,-232.344421,280.906158,-2.342385,-0.763882,-2.453334,-134.20877449475134,-43.76721464601235,-140.5656839359483
26,-168.689499,-227.813278,268.518433,-2.688301,-0.719094,-2.526631,-154.02830136079874,-41.20105127318042,-144.7652926869187
1,-425.91983,-579.486938,49.910847,-2.571625,-1.245664,2.216575,-147.34325899033033,-71.37128989138418,127.00039247421046
1,-425.91983,-579.486938,49.910847,-2.571625,-1.245664,2.216575,-147.34325899033033,-71.37128989138418,127.00039247421046
1,-423.226196,-560.99231,-22.964355,3.112261,-1.444966,3.012348,178.3194200431651,-82.79045333990051,172.5948268246745
2,-422.654297,-561.290649,-22.679335,-2.757705,-1.096913,2.557673,-158.0048576421247,-62.84848539303367,146.5438682745638
3,-428.339783,-561.364014,-20.215214,-1.304009,-1.163889,0.487233,-74.71421214707496,-66.68592752170187,27.91639453949764
1,-252.680023,-531.394592,-21.327187,-1.650394,-1.160489,0.873058,-94.56061073371399,-66.4911218713574,50.022538670132626
1,-136.000198,-434.094147,335.528015,-1.59683,-1.155315,0.835931,-91.49161959987525,-66.19467350815671,47.89531826415042
1,-174.129745,-380.84668,292.33783,-1.815606,-0.909129,0.913937,-104.02656105862934,-52.089254732949016,52.36473284084792
1,-88.35511,-559.88855,322.06488,-0.750054,-0.885277,-0.095443,-42.97492860690545,-50.722635800002976,-5.4684810840671165
2,-25.563284,-631.039978,229.204651,-0.274229,-0.587229,-0.312787,-15.712164320093052,-33.645743307687816,-17.92137498655848
3,-202.078934,-438.085266,383.254791,-1.849594,-1.12282,0.651182,-105.97393001271999,-64.33284715287908,37.30998029488798
4,-300.325104,-160.803375,174.67955,2.299402,-0.370805,1.415597,131.74603000394052,-21.245561522348492,81.10773359138079
5,-188.621948,-178.152237,147.791763,1.462517,-0.344005,1.110503,83.79605156613462,-19.710034631397885,63.62713503661646
6,-61.590775,-758.040955,155.971146,1.370385,-0.371948,-0.785449,78.51727680803532,-21.311050598331946,-45.00291272277099
7,-577.837708,-456.447083,306.107819,-2.824732,-0.74375,2.964087,-161.84522185554806,-42.61373601285498,169.82967520959366
8,-268.561859,-710.03186,350.14389,2.240883,-0.944081,-1.50102,128.39313828261447,-54.09185681849027,-86.00211096472682
9,-223.592743,-734.397278,322.462494,2.324522,-0.825166,-1.321419,133.18529998530914,-47.27852919769209,-75.71173166839772
1,-563.161804,-445.100037,227.335541,-2.665877,-0.48602,-3.117199,-152.74350080099737,-27.84689475894827,-178.6023466024007
2,-445.255737,-391.858948,345.138489,-2.659455,-0.907902,2.931098,-152.37554730496436,-52.018952811486464,167.93954473923657
